quantity,unit_price,total_price,pizza_size_L,pizza_size_M,pizza_size_S,pizza_size_XL,pizza_size_XXL,pizza_category_Chicken,pizza_category_Classic,pizza_category_Supreme,pizza_category_Veggie
1.0,13.25,13.25,False,True,False,False,False,False,True,False,False
1.0,16.0,16.0,False,True,False,False,False,False,True,False,False
1.0,18.5,18.5,True,False,False,False,False,False,False,False,True
1.0,20.75,20.75,True,False,False,False,False,False,False,True,False
1.0,16.0,16.0,False,True,False,False,False,False,False,False,True
1.0,20.75,20.75,True,False,False,False,False,True,False,False,False
1.0,16.5,16.5,False,True,False,False,False,False,False,True,False
1.0,20.75,20.75,True,False,False,False,False,False,False,True,False
1.0,16.5,16.5,False,True,False,False,False,False,False,True,False
1.0,16.5,16.5,False,True,False,False,False,False,False,True,False
1.0,12.75,12.75,False,False,True,False,False,True,False,False,False
1.0,12.0,12.0,False,False,True,False,False,False,True,False,False
1.0,12.5,12.5,False,False,True,False,False,False,False,True,False
1.0,12.5,12.5,False,False,True,False,False,False,False,True,False
1.0,12.0,12.0,False,False,True,False,False,False,True,False,False
1.0,12.0,12.0,False,False,True,False,False,False,False,False,True
1.0,20.5,20.5,True,False,False,False,False,False,True,False,False
1.0,20.75,20.75,True,False,False,False,False,False,False,True,False
1.0,12.5,12.5,False,False,True,False,False,False,False,True,False
1.0,12.0,12.0,False,False,True,False,False,False,False,False,True
1.0,20.75,20.75,True,False,False,False,False,False,False,True,False
1.0,20.75,20.75,True,False,False,False,False,False,False,False,True
1.0,12.0,12.0,False,False,True,False,False,False,False,False,True
1.0,20.25,20.25,True,False,False,False,False,False,False,False,True
1.0,20.75,20.75,True,False,False,False,False,True,False,False,False
1.0,20.75,20.75,True,False,False,False,False,True,False,False,False
1.0,20.75,20.75,True,False,False,False,False,True,False,False,False
1.0,16.75,16.75,False,True,False,False,False,True,False,False,False
1.0,15.25,15.25,True,False,False,False,False,False,True,False,False
1.0,20.75,20.75,True,False,False,False,False,True,False,False,False
1.0,12.75,12.75,False,False,True,False,False,True,False,False,False
1.0,20.75,20.75,True,False,False,False,False,True,False,False,False
1.0,16.5,16.5,False,True,False,False,False,False,False,True,False
1.0,20.25,20.25,True,False,False,False,False,False,False,False,True
1.0,12.0,12.0,False,False,True,False,False,False,True,False,False
1.0,12.0,12.0,False,False,True,False,False,False,True,False,False
1.0,18.5,18.5,True,False,False,False,False,False,False,False,True
1.0,20.75,20.75,True,False,False,False,False,False,False,True,False
1.0,12.0,12.0,False,False,True,False,False,False,True,False,False
1.0,17.95,17.95,True,False,False,False,False,False,False,False,True
1.0,12.0,12.0,False,False,True,False,False,False,True,False,False
1.0,20.75,20.75,True,False,False,False,False,True,False,False,False
1.0,20.75,20.75,True,False,False,False,False,True,False,False,False
1.0,16.25,16.25,False,True,False,False,False,False,False,True,False
1.0,18.5,18.5,True,False,False,False,False,False,False,False,True
1.0,14.75,14.75,False,True,False,False,False,False,False,False,True
1.0,16.5,16.5,False,True,False,False,False,False,False,True,False
1.0,12.75,12.75,False,False,True,False,False,False,False,False,True
2.0,16.0,32.0,False,True,False,False,False,False,False,False,True
1.0,20.25,20.25,True,False,False,False,False,False,False,False,True
1.0,12.5,12.5,False,False,True,False,False,False,False,True,False
1.0,20.25,20.25,True,False,False,False,False,False,False,False,True
1.0,20.5,20.5,True,False,False,False,False,False,True,False,False
1.0,20.5,20.5,True,False,False,False,False,False,True,False,False
1.0,20.25,20.25,True,False,False,False,False,False,False,True,False
1.0,12.0,12.0,False,False,True,False,False,False,True,False,False
1.0,18.5,18.5,True,False,False,False,False,False,False,False,True
1.0,20.5,20.5,True,False,False,False,False,False,True,False,False
1.0,18.5,18.5,True,False,False,False,False,False,False,False,True
1.0,16.0,16.0,False,True,False,False,False,False,True,False,False
1.0,20.75,20.75,True,False,False,False,False,True,False,False,False
1.0,12.75,12.75,False,False,True,False,False,True,False,False,False
1.0,16.75,16.75,False,True,False,False,False,True,False,False,False
1.0,16.0,16.0,False,True,False,False,False,False,True,False,False
1.0,12.5,12.5,False,True,False,False,False,False,True,False,False
1.0,12.5,12.5,False,False,True,False,False,False,False,True,False
1.0,16.25,16.25,False,True,False,False,False,False,False,True,False
1.0,20.75,20.75,True,False,False,False,False,True,False,False,False
1.0,12.0,12.0,False,False,True,False,False,False,True,False,False
1.0,20.25,20.25,True,False,False,False,False,False,False,False,True
